X Y Z R G B Scalar_field Scalar_field_#2 Scalar_field_#3 Scalar_field_#4 Scalar_field_#5 Scalar_field_#6 Scalar_field_#7 Nx Ny Nz
260820.67000008 2147518.62000084 283.42001343 2 2 0 7.000000 215370688.000000 -25.000000 35825.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260791.71000004 2147517.23999977 267.33999634 2 2 0 7.000000 215370688.000000 -24.000000 26716.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260778.62999916 2147505.44000006 268.35998535 2 2 0 7.000000 215370688.000000 -24.000000 33117.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260716.22000122 2147507.19999981 788.32000732 1 1 0 7.000000 215370688.000000 -34.000000 22544.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260721.66000366 2147506.13000011 792.86999512 1 1 0 7.000000 215370688.000000 -35.000000 24859.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260718.13999939 2147526.19000053 794.42999268 2 1 0 7.000000 215370688.000000 -34.000000 21910.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260720.58000183 2147519.59000015 792.83001709 1 1 0 7.000000 215370688.000000 -34.000000 23439.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260723.41999817 2147517.38999939 794.33001709 1 1 0 7.000000 215370688.000000 -34.000000 19638.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260726.54000092 2147509.71000004 795.84997559 1 1 0 7.000000 215370688.000000 -35.000000 21648.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260721.41999817 2147526.95999908 797.78997803 1 1 0 7.000000 215370688.000000 -34.000000 21429.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260722.13999939 2147525.17000008 796.89001465 1 1 0 7.000000 215370688.000000 -34.000000 22281.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260725.15000153 2147517.77000046 796.82000732 1 1 0 7.000000 215370688.000000 -35.000000 21561.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260727.25000000 2147513.06999969 801.09002686 1 1 0 7.000000 215370688.000000 -35.000000 21757.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260728.94999695 2147508.89000034 800.34002686 1 1 0 7.000000 215370688.000000 -35.000000 23024.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260725.84999847 2147520.48999977 797.05999756 1 1 0 7.000000 215370688.000000 -34.000000 22063.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260728.12999725 2147514.97000027 799.92999268 1 1 0 7.000000 215370688.000000 -35.000000 22128.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260732.11000061 2147505.21999979 802.08001709 1 1 0 7.000000 215370688.000000 -35.000000 26279.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260724.68000031 2147526.92000008 798.40002441 1 1 0 7.000000 215370688.000000 -34.000000 22696.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260725.41000366 2147525.17000008 799.51000977 1 1 0 7.000000 215370688.000000 -34.000000 22871.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260732.90000153 2147506.98000002 805.61999512 2 1 0 7.000000 215370688.000000 -35.000000 19857.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260729.16999817 2147515.90999985 802.94000244 1 1 0 7.000000 215370688.000000 -35.000000 19944.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260731.62000275 2147510.05000019 807.16998291 1 1 0 7.000000 215370688.000000 -35.000000 20949.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260728.45999908 2147517.62000084 800.46002197 1 1 0 7.000000 215370688.000000 -35.000000 22565.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260728.34999847 2147517.96999931 802.88000488 1 1 0 7.000000 215370688.000000 -35.000000 24335.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260729.70999908 2147514.77999973 807.45001221 1 1 0 7.000000 215370688.000000 -35.000000 18917.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260726.61000061 2147528.35000038 801.11999512 1 1 0 7.000000 215370688.000000 -34.000000 19857.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260727.41999817 2147526.31999969 799.82000732 1 1 0 7.000000 215370688.000000 -34.000000 19223.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260730.05999756 2147519.95999908 803.23999023 1 1 0 7.000000 215370688.000000 -35.000000 22238.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260731.15000153 2147517.45000076 808.84997559 1 1 0 7.000000 215370688.000000 -35.000000 20512.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260732.50000000 2147514.19999981 811.35998535 1 1 0 7.000000 215370688.000000 -35.000000 20993.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260733.15000153 2147515.97999954 809.83001709 1 1 0 7.000000 215370688.000000 -35.000000 20752.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260736.75000000 2147507.15999985 807.69000244 1 1 0 7.000000 215370688.000000 -36.000000 22631.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260729.13999939 2147523.23999977 798.88000488 1 1 0 7.000000 215370688.000000 -34.000000 20075.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260730.91000366 2147525.00000000 806.76000977 1 1 0 7.000000 215370688.000000 -35.000000 19048.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
